Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,1,10,0.955,10,0.003,2.303,-5.750
10,1,20,1.161,20,7.958E-4,2.996,-7.136
20,1,30,0.885,30,3.537E-4,3.401,-7.947
30,1,40,0.837,40,1.989E-4,3.689,-8.522
40,1,50,1.078,50,1.273E-4,3.912,-8.969
50,1,60,1.418,60,8.842E-5,4.094,-9.333
60,1,70,1.650,70,1.299E-4,4.248,-8.949
70,2,80,1.658,80,9.947E-5,4.382,-9.216
80,2,90,1.452,90,3.930E-5,4.500,-10.144
90,1,100,1.136,100,3.183E-5,4.605,-10.355
100,1,110,0.859,110,2.631E-5,4.700,-10.546
110,1,120,0.761,120,2.210E-5,4.787,-10.720
120,1,130,0.916,130,1.883E-5,4.868,-10.880
130,1,140,1.314,140,1.624E-5,4.942,-11.028
140,1,150,1.856,150,2.829E-5,5.011,-10.473
150,2,160,2.380,160,2.487E-5,5.075,-10.602
160,2,170,2.709,170,3.304E-5,5.136,-10.318
170,3,180,2.713,180,2.947E-5,5.193,-10.432
180,3,190,2.368,190,1.763E-5,5.247,-10.946
190,2,200,1.786,200,1.592E-5,5.298,-11.048
200,2,210,1.206,210,7.218E-6,5.347,-11.839
210,1,220,0.904,220,6.577E-6,5.394,-11.932
220,1,230,0.983,230,6.017E-6,5.438,-12.021
230,1,240,1.015,240,5.526E-6,5.481,-12.106
240,1,NaN,NaN,NaN,NaN,NaN,NaN
